message,concepts
"(3, 3, 8, 0)","[(3, 1, '?'), (3, 1, '?'), (3, 1, '?'), (3, 1, '?'), (3, 1, '?'), (3, 1, '?'), (3, 1, '?')]"
"(3, 3, 11, 0)","[(3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2)]"
"(3, 3, 12, 0)","[(3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1)]"
"(3, 3, 13, 0)","[(3, 1, 2), (3, 1, 2)]"
"(3, 5, 3, 0)","[(0, 1, '?'), (0, 1, '?'), (0, 1, '?'), (0, 1, '?'), (0, 1, '?'), (0, 1, '?'), (0, 1, '?')]"
"(3, 5, 5, 0)","[(0, 1, '?')]"
"(3, 5, 12, 0)","[(0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1)]"
"(3, 12, 12, 0)","[(3, 1, 0), (3, 1, 0), (3, 1, 0), (3, 1, 0), (3, 1, 0)]"
"(3, 13, 4, 0)","[(0, 1, 3), (0, 1, 3), (0, 1, 3), (0, 1, 3), (0, 1, 3), (0, 1, 3), (0, 1, 3), (0, 1, 3)]"
"(3, 13, 5, 0)","[(0, 1, 2), (0, 1, 2), (0, 1, 2)]"
"(4, 3, 4, 0)","[('?', '?', 3)]"
"(4, 3, 5, 0)","[(0, '?', 3), (0, '?', 3), (0, '?', 3), (0, '?', 3), (0, '?', 3), (0, '?', 3), (0, '?', 3)]"
"(4, 3, 8, 0)","[(3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3)]"
"(4, 4, 4, 0)","[('?', 3, 3), ('?', 3, 3), ('?', 3, 3), ('?', 3, 3), ('?', 3, 3), ('?', 3, 3), ('?', 3, 3)]"
"(4, 5, 14, 0)","[('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3)]"
"(4, 8, 5, 0)","[(3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3)]"
"(4, 8, 8, 0)","[(3, 3, 3), (3, 3, 3), (3, 3, 3), (3, 3, 3), (3, 3, 3)]"
"(4, 10, 4, 0)","[(1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3)]"
"(4, 13, 4, 0)","[('?', '?', 3), ('?', '?', 3), ('?', '?', 3), ('?', '?', 3), ('?', '?', 3), ('?', '?', 3)]"
"(4, 13, 13, 0)","[('?', '?', 3), ('?', '?', 3)]"
"(4, 14, 14, 0)","[('?', 3, 2), ('?', 3, 2), ('?', 3, 2), ('?', 3, 2), ('?', 3, 2), ('?', 3, 2), ('?', 3, 2), ('?', 3, 2)]"
"(5, 2, 2, 0)","[('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2)]"
"(5, 3, 12, 0)","[(0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1)]"
"(5, 3, 15, 0)","[(0, '?', 1), (0, '?', 1)]"
"(5, 4, 3, 0)","[(0, '?', 3)]"
"(5, 4, 5, 0)","[(0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, 3, 3), (0, '?', 3)]"
"(5, 4, 14, 0)","[(0, 2, 3), (0, 2, 3), (0, 2, 3), (0, 2, 3), (0, 2, 3)]"
"(5, 5, 4, 0)","[(0, 3, 2), (0, 3, 2), (0, 3, 2), (0, 3, 2), (0, 3, 2)]"
"(5, 5, 5, 0)","[(0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?')]"
"(5, 5, 12, 0)","[(0, '?', 0), (0, '?', 0), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1), (0, 3, 1)]"
"(5, 5, 13, 0)","[(0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2)]"
"(5, 5, 14, 0)","[(0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?')]"
"(5, 5, 15, 0)","[(0, 2, 1), (0, 2, 1), (0, 2, 0), (0, 2, 0), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 0), (0, 2, 1), (0, 2, 0), (0, 2, 1), (0, 2, 0), (0, 2, 0), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 0), (0, 2, 0)]"
"(5, 12, 5, 0)","[(0, '?', 0), (0, '?', 0)]"
"(5, 12, 12, 0)","[(0, '?', 0), (0, '?', 0), (0, '?', 0), (0, '?', 0)]"
"(5, 12, 15, 0)","[('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0)]"
"(5, 13, 2, 0)","[('?', '?', 2), ('?', '?', 2), ('?', '?', 2)]"
"(5, 13, 13, 0)","[(0, '?', 2), (0, '?', 2), (0, '?', 2), (0, '?', 2), (0, '?', 2), (0, '?', 2), (0, '?', 2), (0, '?', 2)]"
"(5, 14, 2, 0)","[('?', '?', 2)]"
"(5, 14, 14, 0)","[('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?')]"
"(5, 14, 15, 0)","[('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', 2, 1), ('?', '?', 1), ('?', 2, 1)]"
"(7, 3, 8, 0)","[(3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?')]"
"(7, 3, 11, 0)","[(3, 0, 2)]"
"(7, 3, 12, 0)","[(3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0)]"
"(7, 11, 11, 0)","[(3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2)]"
"(7, 12, 3, 0)","[(3, 0, 0), (3, 0, 0)]"
"(7, 15, 12, 0)","[(3, 0, 0)]"
"(8, 3, 8, 0)","[(3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?')]"
"(8, 4, 8, 0)","[(3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2)]"
"(8, 4, 13, 0)","[(3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2)]"
"(8, 5, 14, 0)","[(3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1)]"
"(8, 8, 5, 0)","[(3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1)]"
"(8, 8, 8, 0)","[(3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?')]"
"(8, 8, 12, 0)","[(3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0)]"
"(8, 11, 11, 0)","[(3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2)]"
"(8, 12, 3, 0)","[(3, '?', 0), (3, '?', 0)]"
"(8, 12, 5, 0)","[(3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0)]"
"(8, 12, 8, 0)","[(3, 3, 0)]"
"(8, 12, 12, 0)","[(3, '?', 0), (3, '?', 0), (3, '?', 0), (3, '?', 0), (3, '?', 0)]"
"(8, 12, 15, 0)","[(3, '?', 0)]"
"(10, 1, 1, 0)","[(2, '?', 1)]"
"(10, 1, 15, 0)","[(2, '?', 1), (2, '?', 1), (2, '?', 1)]"
"(10, 4, 13, 0)","[(1, 2, 3), (1, 2, 3), (1, 2, 3), (1, 2, 3), (1, 2, 3)]"
"(10, 10, 2, 0)","[(2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2)]"
"(10, 10, 10, 0)","[(1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?')]"
"(10, 10, 13, 0)","[(2, 3, 2), (2, 3, 2), (2, 3, 2)]"
"(10, 12, 1, 0)","[(2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1)]"
"(10, 12, 10, 0)","[(1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1)]"
"(10, 12, 12, 0)","[(2, 2, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0)]"
"(10, 12, 15, 0)","[(2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0)]"
"(10, 13, 1, 0)","[(2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2)]"
"(10, 13, 13, 0)","[(1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2)]"
"(10, 14, 1, 0)","[(2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?')]"
"(10, 14, 14, 0)","[(1, '?', '?'), (1, '?', '?'), (1, '?', '?')]"
"(10, 14, 15, 0)","[(1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1)]"
"(10, 15, 1, 0)","[(2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1)]"
"(10, 15, 15, 0)","[(1, 2, 0), (1, 2, 0), ('?', 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0)]"
"(11, 11, 4, 0)","[(3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3)]"
"(11, 11, 11, 0)","[(3, 0, 2)]"
"(12, 3, 12, 0)","[('?', 1, 0), ('?', 1, 0), ('?', 1, 0), ('?', 1, 0)]"
"(12, 5, 12, 0)","[(0, '?', 0)]"
"(12, 12, 3, 0)","[('?', 1, 0), ('?', 1, 0), ('?', 1, 0)]"
"(12, 12, 12, 0)","[('?', 1, 0)]"
"(12, 14, 12, 0)","[('?', '?', 0)]"
"(12, 15, 12, 0)","[('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0)]"
"(12, 15, 14, 0)","[('?', '?', 0), ('?', '?', 0)]"
"(13, 2, 2, 0)","[('?', 1, 2)]"
"(13, 3, 5, 0)","[(0, 1, 2)]"
"(13, 4, 4, 0)","[('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3)]"
"(13, 5, 13, 0)","[(0, 1, 2)]"
"(13, 13, 1, 0)","[('?', 1, 2)]"
"(13, 13, 2, 0)","[('?', 1, 2), ('?', 1, 2)]"
"(13, 13, 5, 0)","[(0, 1, 2), (0, 1, 2), (0, 1, 2)]"
"(13, 13, 13, 0)","[('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2)]"
"(14, 1, 1, 0)","[(2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?')]"
"(14, 1, 2, 0)","[(2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]"
"(14, 1, 14, 0)","[(1, 1, '?'), (1, 1, '?'), ('?', 1, '?'), ('?', 1, '?'), (1, 1, '?'), ('?', 1, '?'), (1, 1, '?'), ('?', 1, '?'), ('?', 1, '?'), (1, 1, '?'), (1, 1, '?'), (1, 1, '?'), ('?', 1, '?')]"
"(14, 1, 15, 0)","[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
"(14, 2, 4, 0)","[(2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]"
"(14, 5, 3, 0)","[(0, 0, '?'), (0, 0, '?')]"
"(14, 5, 5, 0)","[(0, 0, '?'), (0, 0, '?')]"
"(14, 5, 12, 0)","[(0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1)]"
"(14, 5, 13, 0)","[(0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2)]"
"(14, 12, 5, 0)","[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
"(14, 14, 4, 0)","[('?', 0, 3), ('?', 0, 3), ('?', 0, 3), ('?', 0, 3), ('?', 0, 3), ('?', 0, 3), ('?', 0, 3)]"
"(14, 14, 5, 0)","[(0, 0, '?'), (0, 0, '?'), (0, 0, '?')]"
"(14, 14, 12, 0)","[('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1)]"
"(14, 14, 14, 0)","[('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?')]"
"(14, 15, 1, 0)","[(1, 1, 1), ('?', 1, 1), (1, 1, 1), ('?', 1, 1), (1, 1, 1), ('?', 1, 1), (1, 1, 1), ('?', 1, 1), (1, 1, 1), ('?', 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), ('?', 1, 1)]"
"(14, 15, 15, 0)","[(2, 1, 0)]"
"(15, 1, 15, 0)","[(1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0)]"
"(15, 14, 12, 0)","[('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0), ('?', 0, 0)]"
"(15, 14, 15, 0)","[(1, 1, 0), (2, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0), (2, 1, 0), (2, 1, 0), (1, 1, 0), (1, 1, 0), (2, 1, 0), (2, 1, 0), (1, 1, 0)]"
"(15, 15, 10, 0)","[(1, '?', 0)]"
"(15, 15, 15, 0)","[(1, '?', 0), (1, '?', 0), (1, '?', 0), (1, '?', 0), (1, '?', 0), (1, '?', 0)]"
