concepts,message
"((1, '?', 2), (1, 0, 1))","[(2, 2, 1, 0), (2, 2, 10, 0), (2, 2, 2, 0)]"
"((1, '?', 3), (1, 0, 1))","[(2, 10, 4, 0)]"
"((1, '?', '?'), (1, 0, 0))","[(10, 14, 14, 0)]"
"((2, 0, 1), (1, 1, 1))","[(1, 15, 1, 0)]"
"((2, 0, 2), (1, 1, 1))","[(1, 1, 2, 0), (1, 1, 13, 0)]"
"((2, 0, 3), (1, 1, 1))","[(1, 1, 11, 0), (1, 1, 4, 0)]"
"((2, 0, '?'), (1, 1, 0))","[(1, 1, 14, 0), (1, 1, 1, 0)]"
"((2, 1, 0), (1, 1, 1))","[(15, 14, 15, 0), (14, 15, 15, 0)]"
"((2, 1, 1), (1, 1, 1))","[(14, 1, 15, 0)]"
"((2, 1, 2), (1, 1, 1))","[(14, 1, 2, 0)]"
"((2, 1, 3), (1, 1, 1))","[(14, 2, 4, 0)]"
"((2, 1, '?'), (1, 1, 0))","[(14, 1, 1, 0)]"
"((2, 2, 0), (1, 1, 1))","[(10, 12, 12, 0), (10, 12, 15, 0)]"
"((2, 2, 1), (1, 1, 1))","[(10, 15, 1, 0)]"
"((2, 2, 2), (1, 1, 1))","[(10, 13, 1, 0)]"
"((2, 2, '?'), (1, 1, 0))","[(10, 14, 1, 0)]"
"((2, 3, 0), (1, 1, 1))","[(10, 12, 12, 0)]"
"((2, 3, 1), (1, 1, 1))","[(10, 12, 1, 0)]"
"((2, 3, 2), (1, 1, 1))","[(10, 10, 13, 0), (10, 10, 2, 0)]"
"((2, '?', 1), (1, 0, 1))","[(10, 1, 1, 0), (10, 1, 15, 0)]"
"((2, '?', 3), (1, 0, 1))","[(2, 4, 4, 0)]"
"((3, 0, 0), (1, 1, 1))","[(7, 3, 12, 0), (7, 15, 12, 0), (7, 12, 3, 0)]"
"((3, 0, 2), (1, 1, 1))","[(7, 11, 11, 0), (11, 11, 11, 0), (7, 3, 11, 0)]"
"((3, 0, 3), (1, 1, 1))","[(11, 11, 4, 0)]"
"((3, 0, '?'), (1, 1, 0))","[(7, 3, 8, 0)]"
"((3, 1, 0), (1, 1, 1))","[(3, 12, 12, 0)]"
"((3, 1, 1), (1, 1, 1))","[(3, 3, 12, 0)]"
"((3, 1, 2), (1, 1, 1))","[(3, 3, 13, 0), (3, 3, 11, 0)]"
"((3, 1, '?'), (1, 1, 0))","[(3, 3, 8, 0)]"
"((3, 2, 0), (1, 1, 1))","[(8, 12, 5, 0)]"
"((3, 2, 1), (1, 1, 1))","[(8, 5, 14, 0)]"
"((3, 2, 2), (1, 1, 1))","[(8, 4, 13, 0)]"
"((3, 2, 3), (1, 1, 1))","[(4, 8, 5, 0)]"
"((3, 3, 0), (1, 1, 1))","[(8, 12, 8, 0), (8, 8, 12, 0)]"
"((3, 3, 1), (1, 1, 1))","[(8, 8, 5, 0)]"
"((3, 3, 2), (1, 1, 1))","[(8, 4, 8, 0)]"
"((3, 3, 3), (1, 1, 1))","[(4, 8, 8, 0)]"
"((3, 3, '?'), (1, 1, 0))","[(8, 8, 8, 0)]"
"((3, '?', 0), (1, 0, 1))","[(8, 12, 12, 0), (8, 12, 15, 0), (8, 12, 3, 0)]"
"((3, '?', 2), (1, 0, 1))","[(8, 11, 11, 0)]"
"((3, '?', 3), (1, 0, 1))","[(4, 3, 8, 0)]"
"((3, '?', '?'), (1, 0, 0))","[(8, 3, 8, 0)]"
"(('?', 0, 0), (0, 1, 1))","[(15, 14, 12, 0)]"
"(('?', 0, 1), (0, 1, 1))","[(14, 14, 12, 0)]"
"(('?', 0, 3), (0, 1, 1))","[(14, 14, 4, 0)]"
"(('?', 0, '?'), (0, 1, 0))","[(14, 14, 14, 0)]"
"(('?', 1, 0), (0, 1, 1))","[(12, 12, 3, 0), (12, 12, 12, 0), (12, 3, 12, 0)]"
"(('?', 1, 1), (0, 1, 1))","[(14, 15, 1, 0)]"
"(('?', 1, 2), (0, 1, 1))","[(13, 13, 1, 0), (13, 13, 2, 0), (13, 2, 2, 0), (13, 13, 13, 0)]"
"(('?', 1, 3), (0, 1, 1))","[(13, 4, 4, 0)]"
"(('?', 1, '?'), (0, 1, 0))","[(14, 1, 14, 0)]"
"(('?', 2, 0), (0, 1, 1))","[(5, 12, 15, 0), (10, 15, 15, 0)]"
"(('?', 2, 1), (0, 1, 1))","[(5, 14, 15, 0)]"
"(('?', 2, 3), (0, 1, 1))","[(4, 5, 14, 0)]"
"(('?', 2, '?'), (0, 1, 0))","[(5, 14, 14, 0)]"
"(('?', 3, 2), (0, 1, 1))","[(4, 14, 14, 0)]"
"(('?', 3, 3), (0, 1, 1))","[(4, 4, 4, 0)]"
"(('?', '?', 0), (0, 0, 1))","[(12, 14, 12, 0), (12, 15, 14, 0), (12, 15, 12, 0)]"
"(('?', '?', 1), (0, 0, 1))","[(5, 14, 15, 0)]"
"(('?', '?', 2), (0, 0, 1))","[(5, 13, 2, 0), (5, 14, 2, 0), (5, 2, 2, 0)]"
"(('?', '?', 3), (0, 0, 1))","[(4, 3, 4, 0), (4, 13, 13, 0), (4, 13, 4, 0)]"
